experiment,num_agents,communication_probability,iterations,collective_accuracy,mean_individual_accuracy,knowledge_coverage,knowledge_propagation_gain,communication_density,average_degree,average_clustering,communication_efficiency,emergence_score,collective_intelligence_score
agents_5,5.0,0.25,45.0,0.8260869565217391,0.8086956521739129,0.7858695652173914,0.325,0.4,1.6,0.0,0.12500000000000003,0.33135869565217396,0.669625
agents_10,10.0,0.25,45.0,0.9565217391304348,0.8260869565217391,0.8701086956521739,0.3951086956521738,0.26666666666666666,2.4,0.06666666666666667,0.11339336459221366,0.3937384555271384,0.7704041453537936
agents_15,15.0,0.25,45.0,0.8695652173913043,0.8231884057971015,0.9282608695652175,0.4782608695652174,0.3047619047619048,4.266666666666667,0.4119047619047619,0.09080902586681343,0.3808791964777104,0.7346985415520088
agents_20,20.0,0.25,45.0,0.9565217391304348,0.8608695652173913,0.9456521739130435,0.4948369565217392,0.26842105263157895,5.1,0.2861904761904762,0.08101878463200976,0.39805158301335847,0.7868067792518338
agents_30,30.0,0.25,45.0,1.0,0.9362318840579711,0.9835144927536233,0.5360507246376812,0.25057471264367814,7.266666666666667,0.25283549783549775,0.06443618513323983,0.38581296166432916,0.8124467870500235
agents_40,40.0,0.25,45.0,1.0,0.9630434782608697,0.9948369565217391,0.548641304347826,0.2551282051282051,9.95,0.2764378636069813,0.050124036260115516,0.3748481768172405,0.8114218443495197
density_0.05,20.0,0.05,45.0,0.9565217391304348,0.8543478260869565,0.8282608695652174,0.38097826086956527,0.11052631578947368,2.1,0.0,0.12322346891070593,0.3702968676951846,0.7550021037868163
density_0.10,20.0,0.1,45.0,0.9130434782608695,0.8391304347826084,0.8317934782608696,0.3692934782608695,0.11578947368421053,2.2,0.0,0.11540421195652174,0.3640998641304348,0.7321103940217393
density_0.20,20.0,0.2,45.0,0.9565217391304348,0.9,0.8953804347826084,0.44483695652173927,0.17894736842105263,3.4,0.22797619047619047,0.101296075006894,0.36788149761007444,0.7677014058047615
density_0.35,20.0,0.35,45.0,1.0,0.9695652173913044,0.9793478260869565,0.5277173913043479,0.38421052631578945,7.3,0.36928571428571433,0.06391938379179495,0.3692512680627068,0.8066449456362033
density_0.50,20.0,0.5,45.0,0.9130434782608695,0.8760869565217392,0.9970108695652173,0.55,0.5157894736842106,9.8,0.5247852147852148,0.05088460643531446,0.3865220299827151,0.7718805220382928
density_0.75,20.0,0.75,45.0,1.0,0.967391304347826,1.0,0.5361413043478261,0.7263157894736842,13.8,0.7179603484750543,0.03612028190285412,0.371897969424049,0.791918361078931
